date,fire_count,frp_sum,pm25,aqi,wind_speed,wind_dir,temp,rain,alignment,transport_index,transport_lag1,stagnation
2015-09-01,11.0,28.67,73.78,210.0,11.679166666666665,285.9700082557367,29.441666666666666,0.0,0.8056510441857014,8.862161486042716,,0.07886953664147224
2015-09-02,3.0,7.35,97.63,298.0,11.629166666666668,276.16577505256237,29.008333333333336,0.0,0.6930111651884128,2.0790334955652385,8.862161486042716,0.07918178818871659
2015-09-03,3.0,14.629999999999999,99.5,315.0,10.308333333333334,292.76488667488024,29.045833333333334,0.0,0.8700810166201611,2.6102430498604834,2.0790334955652385,0.08843036109064112
2015-09-04,4.0,14.06,97.31,368.0,7.204166666666666,299.05112475048685,29.675,0.0,0.9188207886201993,3.6752831544807973,2.6102430498604834,0.1218892839004571
2015-09-05,14.0,61.94,76.43,266.0,10.966666666666667,293.1648596968543,28.766666666666666,0.0,0.8735007083432678,12.22900991680575,3.6752831544807973,0.08356545961002786
2015-09-06,16.0,69.74,61.69,174.0,9.908333333333333,286.4476144047394,28.691666666666666,0.0,0.8105610444619238,12.96897671139078,12.22900991680575,0.09167303284950344
2015-09-07,30.0,106.28999999999999,55.19,199.0,10.729166666666666,295.45533684065737,29.041666666666668,0.0,0.8922590532776273,26.76777159832882,12.96897671139078,0.0852575488454707
2015-09-08,15.0,92.27,63.79,217.0,10.879166666666668,294.02816466694725,29.166666666666668,0.0,0.8807364878291936,13.211047317437904,26.76777159832882,0.08418098912662222
2015-09-09,19.0,148.67000000000002,58.48,238.0,11.262500000000001,310.68111607401477,29.416666666666668,0.0,0.979520061110964,18.610881161108317,13.211047317437904,0.08154943934760447
2015-09-10,16.0,52.87,60.29,230.0,9.016666666666667,318.37392100359466,29.0625,0.0,0.9976570026460861,15.962512042337378,18.610881161108317,0.09983361064891846
2015-09-11,29.0,91.89,67.35,218.0,7.554166666666667,343.2762526015511,28.920833333333334,0.0,0.9337090789876766,27.077563290642622,15.962512042337378,0.11690209449585971
2015-09-12,39.0,152.28,87.55,226.0,6.845833333333334,88.48773584260624,28.916666666666668,0.3,0.0,0.0,27.077563290642622,0.12745618693574082
2015-09-13,29.0,121.92,84.57,202.0,5.704166666666666,86.92311602674079,29.895833333333332,0.0,0.0,0.0,0.0,0.14916096954630206
2015-09-14,13.0,81.72,111.58,274.0,6.254166666666666,24.10665085556019,30.46666666666667,0.0,0.47239971480370835,6.141196292448209,0.0,0.13785180930499713
2015-09-15,24.0,84.42,108.78,289.0,6.579166666666666,92.68832825876649,30.179166666666664,0.0,0.0,0.0,6.141196292448209,0.13194062671797693
2015-09-16,21.0,154.53,91.18,235.0,7.5,96.88477477441711,30.1875,0.0,0.0,0.0,0.0,0.11764705882352941
2015-09-17,63.0,269.23,104.85,285.0,6.8374999999999995,88.12181600194828,29.650000000000002,0.4,0.0,0.0,0.0,0.12759170653907498
2015-09-18,51.0,196.09,56.19,209.0,10.1,85.21436220070763,29.233333333333334,1.6,0.0,0.0,0.0,0.0900900900900901
2015-09-19,4.0,7.7299999999999995,67.62,132.0,7.2250000000000005,75.77389576504777,27.974999999999994,24.3,0.0,0.0,0.0,0.12158054711246198
2015-09-20,0.0,0.0,64.38,179.0,7.166666666666667,97.24075724536237,28.770833333333332,5.0,0.0,0.0,0.0,0.12244897959183672
2015-09-21,6.0,24.97,45.65,136.0,6.845833333333334,120.55219580737497,28.066666666666666,9.5,0.0,0.0,0.0,0.12745618693574082
2015-09-22,2.0,2.87,35.75,104.0,11.895833333333334,140.350634224097,28.46666666666667,2.0,0.0,0.0,0.0,0.07754442649434572
2015-09-23,2.0,3.49,34.89,95.0,12.170833333333334,302.5468434524988,27.016666666666666,0.3,0.9411760877682309,1.8823521755364618,0.0,0.07592534008225245
2015-09-24,4.0,4.8500000000000005,63.06,175.0,13.995833333333332,286.5979454781405,26.858333333333334,0.0,0.8120948757750417,3.2483795031001668,1.8823521755364618,0.0666851903306474
2015-09-25,1.0,0.65,82.39,290.0,11.175000000000002,287.884535510365,26.483333333333334,0.0,0.8249922376267558,0.8249922376267558,3.2483795031001668,0.08213552361396302
2015-09-26,11.0,28.83,88.08,282.0,8.129166666666666,286.14267056718285,27.020833333333332,0.0,0.8074325670858294,8.881758237944124,0.8249922376267558,0.10953902327704244
2015-09-27,14.0,72.41,89.75,298.0,7.4125000000000005,311.1757902187122,27.8,0.0,0.981221897278077,13.737106561893077,8.881758237944124,0.11887072808320949
2015-09-28,35.0,149.63,69.57,240.0,7.870833333333334,328.64530206963934,26.754166666666666,0.0,0.993867767084873,34.78537184797055,13.737106561893077,0.11272898074213246
2015-09-29,94.0,357.62,68.34,188.0,8.941666666666666,331.70309757625796,26.4375,0.0,0.9865542928053362,92.7361035237016,34.78537184797055,0.10058675607711652
2015-09-30,70.0,314.7,61.08,187.0,10.854166666666666,325.3714167417399,26.458333333333332,0.0,0.9985605595757469,69.89923917030228,92.7361035237016,0.0843585237258348
2015-10-01,104.0,456.04,85.7,230.0,7.641666666666667,325.55952183953053,26.175,0.0,0.9983790889444257,103.83142525022028,69.89923917030228,0.11571841851494698
2015-10-02,164.0,841.29,97.62,286.0,8.495833333333334,318.52012319547833,26.433333333333337,0.0,0.9978283276907846,163.64384574128866,103.83142525022028,0.10530934620447564
2015-10-03,275.0,1420.61,103.58,266.0,7.587500000000001,310.75369890496614,27.370833333333334,0.0,0.9797743428237693,269.43794427653654,163.64384574128866,0.11644832605531293
2015-10-04,479.0,1996.63,145.97,369.0,5.550000000000001,128.49101490371083,27.954166666666666,0.0,0.0,0.0,269.43794427653654,0.15267175572519082
2015-10-05,287.0,1468.97,180.52,375.0,5.958333333333333,215.23324895770256,28.25833333333333,0.0,0.0,0.0,0.0,0.1437125748502994
